id,level,owner,occupy_time,challenger,deposit,cutoff_time,battle_time,bonus_time,color,status,timeout,maxbonus
1,1,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,180000000
5,1,0,0,0,0,0,0,0,0,0,0,0
6,1,13,0,0,0,0,0,1339736415,3,0,0,180000000
7,3,0,0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0,0,180000000
9,1,0,0,0,0,0,0,0,0,0,0,0
10,2,0,0,0,0,0,0,0,0,0,0,0
11,1,0,0,13,50000000,0,1339851600,0,0,0,0,180000000
12,1,0,0,0,0,0,0,0,0,0,0,0
13,1,0,0,0,0,0,0,0,0,0,0,0
14,1,0,0,0,0,0,0,0,0,0,0,0
15,1,0,0,0,0,0,0,0,0,0,0,0
16,1,0,0,0,0,0,0,0,0,0,0,0
17,1,0,0,0,0,0,0,0,0,0,0,180000000
18,1,0,0,0,0,0,0,0,0,0,0,0
19,1,0,0,0,0,0,0,0,0,0,0,180000000
20,2,0,0,0,0,0,0,0,0,0,0,0
21,1,0,0,0,0,0,0,0,0,0,0,0
22,1,4,0,0,0,0,0,1339736415,4,0,0,180000000
23,3,0,0,0,0,0,0,0,0,0,0,0
24,1,0,0,0,0,0,0,0,0,0,0,0
25,1,0,0,0,0,0,0,0,0,0,0,0
26,1,0,0,0,0,0,0,0,0,0,0,0
27,1,0,0,0,0,0,0,0,0,0,0,0
28,1,0,0,0,0,0,0,0,0,0,0,0
29,1,6,0,0,0,0,0,1339736415,2,0,0,180000000
30,1,0,0,0,0,0,0,0,0,0,0,0
31,1,0,0,0,0,0,0,0,0,0,0,180000000
32,1,0,0,0,0,0,0,0,0,0,0,0
33,1,0,0,0,0,0,0,0,0,0,0,0
34,1,0,0,11,10000000,0,1339851780,0,0,0,0,180000000
35,2,0,0,0,0,0,0,0,0,0,0,0
36,1,0,0,0,0,0,0,0,0,0,0,180000000
37,1,8,0,0,0,0,0,1339736415,5,0,0,180000000
38,1,0,0,0,0,0,0,0,0,0,0,0
39,1,11,0,0,0,0,0,1339736415,1,0,0,180000000
40,1,0,0,0,0,0,0,0,0,0,0,0
41,1,0,0,0,0,0,0,0,0,0,0,0
42,1,0,0,0,0,0,0,0,0,0,0,0
43,1,0,0,0,0,0,0,0,0,0,0,0
44,2,0,0,0,0,0,0,0,0,0,0,0
